brand,model,submodel,year,gear,engine,color,mileage,price,dateRecorded,source,sourceType,sourceUrl,externalId,series_auto,trim_auto
PORSCHE,,,2018.0,ekiiyr``ot,,ethaa,58000.0,3490000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2009.0,ekiiyr``ot,,khaaw,125000.0,990000.0,2025-11-26,taladrod,marketplace,,,,
FORD,,,2016.0,ekiiyr``ot,,aedng,70000.0,1650000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2013.0,ekiiyr``ot,,br`nchengin,73000.0,795000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2021.0,ekiiyr``ot,,khaaw,60000.0,2750000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2022.0,ekiiyr``ot,,dam,50000.0,2550000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2012.0,ekiiyr``ot,,khaaw,147000.0,699000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2019.0,ekiiyr``ot,,dam,59000.0,859000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2015.0,ekiiyr``ot,,dam,48000.0,2590000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2015.0,ekiiyr``ot,,dam,171126.0,1290000.0,2025-11-26,taladrod,marketplace,,,,
NISSAN,,,2017.0,ekiiyr``ot,,ekhiiyw,54000.0,399000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2024.0,ekiiyr``ot,,khaaw,13000.0,5190000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2015.0,ekiiyr``ot,,dam,190000.0,439000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyr``ot,,br`nchengin,130000.0,379000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyrthrrmdaa,,khaaw,50688.0,339000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2025.0,ekiiyr``ot,,ethaa,2000.0,799000.0,2025-11-26,taladrod,marketplace,,,,
FORD,,,2015.0,ekiiyrthrrmdaa,,dam,280752.0,239000.0,2025-11-26,taladrod,marketplace,,,,
MG,,,2023.0,ekiiyr``ot,,khaaw,18000.0,539000.0,2025-11-26,taladrod,marketplace,,,,
FORD,,,2023.0,ekiiyr``ot,,khaaw,61000.0,1359000.0,2025-11-26,taladrod,marketplace,,,,
NISSAN,,,2010.0,ekiiyr``ot,,khaaw,183000.0,129000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2024.0,ekiiyr``ot,,khaaw,9600.0,499000.0,2025-11-26,taladrod,marketplace,,,,
MG,,,2016.0,ekiiyr``ot,,ehluue`ng,44000.0,129000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2019.0,ekiiyr``ot,,dam,58000.0,579000.0,2025-11-26,taladrod,marketplace,,,,
FORD,,,2019.0,ekiiyr``ot,,khaaw,128000.0,789000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2021.0,ekiiyr``ot,,khaaw,77000.0,1229000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2023.0,ekiiyr``ot,,ethaa,54000.0,509000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2015.0,ekiiyr``ot,,ethaa,72000.0,439000.0,2025-11-26,taladrod,marketplace,,,,
FORD,,,2018.0,ekiiyr``ot,,khaaw,199500.0,679000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2019.0,ekiiyr``ot,,khaaw,240000.0,999000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2022.0,ekiiyr``ot,,khaaw,63000.0,888000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2022.0,ekiiyr``ot,,khaaw,57688.0,699000.0,2025-11-26,taladrod,marketplace,,,,
NISSAN,,,2014.0,ekiiyr``ot,,khaaw,150000.0,219000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2011.0,ekiiyr``ot,,ethaa,147000.0,259000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2010.0,ekiiyr``ot,,khaaw,250733.0,199000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2018.0,ekiiyr``ot,,khaaw,120000.0,1990000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2018.0,ekiiyr``ot,,br`nchengin,38000.0,1199000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2024.0,ekiiyr``ot,,khaaw,11000.0,489000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2002.0,ekiiyr``ot,,faa,194064.0,99000.0,2025-11-26,taladrod,marketplace,,,,
MITSUBISHI,,,2019.0,ekiiyr``ot,,khaaw,72488.0,839000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2018.0,ekiiyr``ot,,ethaa,80722.0,750000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyrthrrmdaa,,ethaa,64000.0,375000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2013.0,ekiiyr``ot,,ethaa,142500.0,195000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2017.0,ekiiyrthrrmdaa,,ethaa,180000.0,959000.0,2025-11-26,taladrod,marketplace,,,,
SUBARU,,,2016.0,ekiiyr``ot,,faa,89021.0,858000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2017.0,ekiiyr``ot,,dam,100793.0,1699000.0,2025-11-26,taladrod,marketplace,,,,
FORD,,,2022.0,ekiiyrthrrmdaa,,ethaa,36489.0,599000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2012.0,ekiiyr``ot,,ethaa,81000.0,185000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyr``ot,,khaaw,117115.0,858000.0,2025-11-26,taladrod,marketplace,,,,
ISUZU,,,2024.0,ekiiyrthrrmdaa,,ethaa,8996.0,639000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2016.0,ekiiyr``ot,,namengin,220200.0,469000.0,2025-11-26,taladrod,marketplace,,,,
NISSAN,,,2014.0,ekiiyrthrrmdaa,,dam,177000.0,179000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2025.0,ekiiyrthrrmdaa,,khaaw,9003.0,549000.0,2025-11-26,taladrod,marketplace,,,,
NISSAN,,,2013.0,ekiiyr``ot,,namtaal,209000.0,125000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2019.0,ekiiyrthrrmdaa,,khaaw,95000.0,259000.0,2025-11-26,taladrod,marketplace,,,,
AUDI,,,2019.0,ekiiyr``ot,,ethaa,90000.0,1190000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2022.0,ekiiyr``ot,,khaaw,161487.0,679000.0,2025-11-26,taladrod,marketplace,,,,
VOLVO,,,2023.0,ekiiyr``ot,,faa,20000.0,1499000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2017.0,ekiiyr``ot,,ethaa,157624.0,519000.0,2025-11-26,taladrod,marketplace,,,,
FORD,,,2019.0,ekiiyr``ot,,dam,78000.0,629000.0,2025-11-26,taladrod,marketplace,,,,
SUBARU,,,2022.0,ekiiyr``ot,,faa,80000.0,678000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2017.0,ekiiyr``ot,,khaaw,224995.0,449000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2010.0,ekiiyr``ot,,khaaw,110000.0,269000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2011.0,ekiiyr``ot,,br`nchengin,90000.0,629000.0,2025-11-26,taladrod,marketplace,,,,
VOLKSWAGEN,,,2014.0,ekiiyr``ot,,ehluue`ng,80000.0,899000.0,2025-11-26,taladrod,marketplace,,,,
JEEP,,,2012.0,ekiiyr``ot,,dam,97000.0,2550000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2016.0,ekiiyr``ot,,dam,194976.0,720000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2019.0,ekiiyr``ot,,khaaw,78000.0,468000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2024.0,ekiiyr``ot,,dam,9100.0,1869000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2021.0,ekiiyr``ot,,br`nchengin,52000.0,929000.0,2025-11-26,taladrod,marketplace,,,,
HYUNDAI,,,2019.0,ekiiyr``ot,,ethaa,80190.0,944000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyr``ot,,khaaw,74000.0,389000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2018.0,ekiiyrthrrmdaa,,ethaa,60000.0,379000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2021.0,ekiiyr``ot,,khaaw,40000.0,798000.0,2025-11-26,taladrod,marketplace,,,,
