Make, Model, Sub model, year, tranmission, Buyout price, Previous Bid, Current Bid
TOYOTA,HILUX VIGO,HILUX VIGO CAB 2.7 G 4WD,2007,-,699000,172500,191500
TOYOTA,HILUX VIGO,HILUX VIGO CAB 3.0 E 4WD Man,2007,-,690000,202500,225000
TOYOTA,HILUX VIGO,HILUX VIGO CAB 3.0 E PRERUNNER Man,2007,MT,667000,123000,210000
TOYOTA,HILUX VIGO,HILUX VIGO CAB 3.0 G Man,2007,MT,649000,103000,191000
TOYOTA,HILUX VIGO,HILUX VIGO DOUBLE CAB 2.5 E 4WD Man,2007,-,768000,219500,244000
TOYOTA,HILUX VIGO,HILUX VIGO DOUBLE CAB 2.5 E Man,2007,MT,650000,82000,196000
TOYOTA,HILUX VIGO,HILUX VIGO DOUBLE CAB 2.5 G Man,2007,-,679000,192000,213500
TOYOTA,HILUX VIGO,HILUX VIGO DOUBLE CAB 2.5 J Man,2007,-,577000,167500,186000
TOYOTA,HILUX VIGO,HILUX VIGO DOUBLE CAB 3.0 E PRERUNNER Man,2007,MT,749000,142000,236500
TOYOTA,HILUX VIGO,HILUX VIGO DOUBLE CAB 3.0 G,2007,AT,767000,213500,237000
TOYOTA,HILUX VIGO,HILUX VIGO DOUBLE CAB 3.0 G 4WD Exclusive,2007,-,899000,240000,266500
TOYOTA,HILUX VIGO,HILUX VIGO DOUBLE CAB 3.0 G 4WD Man,2007,-,834000,233500,259500
TOYOTA,86 GT,86 GT 2.0 STD,2016,-,2560000,902000,965000
TOYOTA,86 GT,86 GT 2.0 STD Man,2016,-,2490000,884500,947000
TOYOTA,86 GT,86 GT 2.0 Top,2016,-,2740000,966500,1033500
TOYOTA,86 GT,86 GT 2.0 STD,2015,-,2560000,852500,913500
TOYOTA,86 GT,86 GT 2.0 STD Man,2015,-,2490000,826500,886500
TOYOTA,86 GT,86 GT 2.0 Top,2015,-,2740000,900000,963500
TOYOTA,86 GT,86 GT 2.0 STD,2014,-,2560000,790000,847500
TOYOTA,86 GT,86 GT 2.0 STD Man,2014,-,2490000,768500,825000
TOYOTA,86 GT,86 GT 2.0 Top,2014,-,2740000,845500,906000
TOYOTA,86 GT,86 GT 2.0 STD,2013,-,2560000,757000,812500
TOYOTA,86 GT,86 GT 2.0 STD Man,2013,-,2490000,740000,794500
TOYOTA,86 GT,86 GT 2.0 Top,2013,-,2740000,816500,875500
TOYOTA,86 GT,86 GT 2.0 STD,2012,-,2560000,694000,747000
TOYOTA,86 GT,86 GT 2.0 STD Man,2012,-,2490000,676000,729000
TOYOTA,86 GT,86 GT 2.0 Top,2012,-,2740000,745500,800500
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY18) (MNC),2022,-,4019000,1971500,2097500
TOYOTA,ALPHARD,ALPHARD 3.5 VIP (MY18) (MNC),2022,-,5509000,2706500,2877000
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY18) (MNC),2021,-,4019000,1773500,1887500
TOYOTA,ALPHARD,ALPHARD 3.5 VIP (MY18),2021,-,5509000,2481000,2638000
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY18),2020,-,3939000,1556500,1658500
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY18) (MNC),2020,-,4019000,1723500,1835000
TOYOTA,ALPHARD,ALPHARD 3.5 VIP (MY18),2020,-,5509000,2210500,2350500
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY18),2019,AT,3939000,2032000,1620000
TOYOTA,ALPHARD,ALPHARD 3.5 VIP (MY18),2019,-,5429000,2098000,2231500
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY15),2018,-,3909000,1286000,1373000
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY18),2018,-,3939000,1499500,1598500
TOYOTA,ALPHARD,ALPHARD 3.5 Executive Lounge,2018,-,5379000,1687500,1797000
TOYOTA,ALPHARD,ALPHARD 3.5 VIP (MY18),2018,-,5429000,1901500,2023000
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY15),2017,-,3909000,1180000,1260500
TOYOTA,ALPHARD,ALPHARD 3.5 Executive Lounge,2017,-,5379000,1431500,1526500
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY15),2016,-,3909000,1095500,1170500
TOYOTA,ALPHARD,ALPHARD 3.5 Executive Lounge,2016,-,5379000,1414000,1508500
TOYOTA,ALPHARD,ALPHARD 2.4 Hybrid,2015,-,3459000,714500,768000
TOYOTA,ALPHARD,ALPHARD 2.4 V (MNC),2015,-,3339000,693000,745500
TOYOTA,ALPHARD,ALPHARD 2.5 Hybrid (MY15),2015,-,3549000,1075500,1149500
TOYOTA,ALPHARD,ALPHARD 3.5 Executive Lounge,2015,-,4649000,1375500,1467500
TOYOTA,ALPHARD,ALPHARD 3.5 V (MNC),2015,-,4099000,835500,895500
TOYOTA,ALPHARD,ALPHARD 2.4 Hybrid,2014,-,3459000,637500,690500
TOYOTA,ALPHARD,ALPHARD 2.4 V (MNC),2014,-,3339000,641000,694000
TOYOTA,ALPHARD,ALPHARD 3.5 V (MNC),2014,-,4099000,755500,811500
TOYOTA,ALPHARD,ALPHARD 2.4 Hybrid,2013,-,3459000,604500,657500
TOYOTA,ALPHARD,ALPHARD 2.4 V (MNC),2013,AT,3339000,578500,631500
TOYOTA,ALPHARD,ALPHARD 3.5 V (MNC),2013,-,4099000,647000,700500
TOYOTA,AVANZA,AVANZA 1.5 E (MY19),2022,-,649000,314500,349500
TOYOTA,AVANZA,AVANZA 1.5 G (MY19),2022,-,699000,340000,378000
TOYOTA,AVANZA,AVANZA 1.5 E (MY19),2021,-,649000,295500,328500
TOYOTA,AVANZA,AVANZA 1.5 G (MY19),2021,-,699000,321000,357000
TOYOTA,AVANZA,AVANZA 1.5 E (MY19),2020,-,649000,280500,311500
TOYOTA,AVANZA,AVANZA 1.5 G (MY19),2020,-,699000,304000,337500
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) (MNC),2019,-,640000,247000,274500
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) Man,2019,-,605000,230500,256000
TOYOTA,AVANZA,AVANZA 1.5 E (MY19),2019,-,649000,269500,299500
